Link,Name,Cuisine,Price_4_two,Rating
https://www.swiggy.com/restaurants/marwadi-chaat-and-tiffin-services-shanti-nagar-lakshmi-road-shanthi-nagar-bangalore-132622,Marwadi Chaat & Tiffin Services Shanti nagar,"Rajasthani, North Indian, Snacks, Chaat",300,3.7
https://www.swiggy.com/restaurants/new-shanti-sagar-3rd-block-rajajinagar-bangalore-40443,New Shanti Sagar,"South Indian, Chinese, North Indian, Fast Food",200,4.2
https://www.swiggy.com/restaurants/tomba-kitchen-vivek-nagar-ejipura-bangalore-163604,Tomba kitchen,Chinese,300,4.4
https://www.swiggy.com/restaurants/new-shanthi-sagar-rv-road-jayanagar-bangalore-12396,New Shanthi Sagar,"North Indian, Chinese, Fast Food",400,4
https://www.swiggy.com/restaurants/the-cake-deluxe-patelamma-temple-street-basavanagudi-bangalore-611922,The cake deluxe,"Bakery, Desserts, Cafe",250,
https://www.swiggy.com/restaurants/a2b-adyar-ananda-bhavan-wilson-garden-shanti-nagar-bangalore-12808,A2B - Adyar Ananda Bhavan,"South Indian, North Indian, Sweets, Chinese",300,4.4
https://www.swiggy.com/restaurants/chinese-wok-chikka-lakshmaiah-layout-adugodi-bangalore-393840,Chinese Wok,"Chinese, Asian, Tibetan, Desserts",250,3.8
https://www.swiggy.com/restaurants/nagarjuna-residency-road-ashok-nagar-bangalore-41100,Nagarjuna,"Andhra, South Indian, Biryani, Beverages, Desserts",600,4.4
https://www.swiggy.com/restaurants/polar-bear-ice-cream-sundaes-kavilakshmisha-road-basavanagudi-bangalore-5893,Polar Bear Ice Cream Sundaes,"Ice Cream, Desserts",300,4.4
https://www.swiggy.com/restaurants/hotel-savitha-family-restaurant-4th-block-koramangala-bangalore-1371,Hotel Savitha Family Restaurant,"North Indian, South Indian, Biryani, Chinese, Indian, Tandoor, Beverages",150,3.9
https://www.swiggy.com/restaurants/hotel-savitha-family-restaurant-4th-block-koramangala-bangalore-1371,Hotel Savitha Family Restaurant,"North Indian, South Indian, Biryani, Chinese, Indian, Tandoor, Beverages",150,3.9
https://www.swiggy.com/restaurants/chikpet-donne-biriyani-house-srinagar-srinagar-banashankari-bangalore-35088,Chikpet Donne Biriyani House - Srinagar,"Biryani, South Indian",350,3.9
https://www.swiggy.com/restaurants/natural-ice-cream-ashok-nagar-st-marks-road-bangalore-29673,Natural Ice Cream,"Ice Cream, Desserts",150,4.7
https://www.swiggy.com/restaurants/biryani-canteen-d-block-rajajinagar-bangalore-194090,Biryani Canteen,"Biryani, Chinese, North Indian, Tandoor",400,4
https://www.swiggy.com/restaurants/chicken-county-restaurant-gandhi-nagar-k-g-circle-majestic-bangalore-137297,Chicken County Restaurant,"North Indian, Chinese, Tandoor, Grill, Biryani, Kebabs, Ice Cream, Juices, South...",300,4.2
https://www.swiggy.com/restaurants/cakezone-domlur-layout-indiranagar-bangalore-29784,CakeZone,"Bakery, Desserts, Sweets, Ice Cream",200,4.3
https://www.swiggy.com/restaurants/sardarji-londonwaley-7th-block-koramangala-bangalore-61790,Sardarji Londonwaley,"Indian, North Indian, Punjabi, Chinese, Biryani",350,3.8
https://www.swiggy.com/restaurants/savoury-restaurant-mosque-road-frazer-town-bangalore-80517,Savoury Restaurant,"Arabian, Indian, Chinese, Tandoor, Biryani, Seafood, Kerala",600,4.3
https://www.swiggy.com/restaurants/sreeraj-lassi-bar-1973s-palace-road-bangalore-156627,"Sreeraj Lassi Bar 1973s	",Beverages,250,4.3
https://www.swiggy.com/restaurants/call-me-chow-8th-block-koramangala-bangalore-307050,Call Me Chow,"Chinese, Pan-Asian",400,4.3
https://www.swiggy.com/restaurants/sagar-restaurant-nehru-circle-seshadripuram-bangalore-61597,Sagar Restaurant,"North Indian, Chinese, Chaat, Tandoor, Jain",399,4.1
https://www.swiggy.com/restaurants/lassi-shop-gandhi-nagar-majestic-bangalore-423134,Lassi Shop,Beverages,150,
https://www.swiggy.com/restaurants/dairy-day-ice-creams-narayanappa-garden-btm-layout-bangalore-446562,Dairy Day Ice Creams,"Ice Cream, Desserts",200,4.7
https://www.swiggy.com/restaurants/the-punjabi-rasoi-100-feet-road-indiranagar-bangalore-17167,The Punjabi Rasoi,North Indian,800,4.2
https://www.swiggy.com/restaurants/the-purple-pan-d-block-rajajinagar-bangalore-3332,The Purple Pan,"Mughlai, North Indian, Chinese, Arabian, Biryani, Tandoor",400,4.1
https://www.swiggy.com/restaurants/manis-dum-biryani-haudin-road-ulsoor-bangalore-30034,Mani's Dum Biryani,Biryani,499,4.3
https://www.swiggy.com/restaurants/beijing-bites-richmond-town-bangalore-8766,Beijing Bites,Chinese,450,4.2
https://www.swiggy.com/restaurants/the-pastry-house-wilson-garden-shanti-nagar-bangalore-322300,The Pastry House,Bakery,150,4.1
https://www.swiggy.com/restaurants/the-belgian-waffle-co-nehrunagar-main-road-seshadripuram-bangalore-356343,The Belgian Waffle Co.,"Waffle, Desserts, Ice Cream, Beverages",200,4.5
https://www.swiggy.com/restaurants/swathi-restaurant-west-of-chord-road-rajajinagar-bangalore-74630,Swathi Restaurant,"Biryani, Andhra, North Indian, Chinese, Desserts",600,4.1
https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-5th-cross-wilson-garden-bangalore-317934,Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts, Ice Cream, Ice Cream Cakes",200,4.6
https://www.swiggy.com/restaurants/nic-ice-creams-pulikeshi-nagar-frazer-town-bangalore-86443,NIC Ice Creams,"Ice Cream, Desserts",120,4.7
https://www.swiggy.com/restaurants/nandhini-deluxe-ashok-nagar-st-marks-road-bangalore-3434,Nandhini Deluxe,"Andhra, Biryani, Chinese, North Indian",500,4.2
https://www.swiggy.com/restaurants/sultan-rolls-and-sandwiches-sg-palya-btm-layout-bangalore-448568,Sultan Rolls & Sandwiches,"Snacks, Chinese, Biryani",150,3.7
https://www.swiggy.com/restaurants/savoury-seashell-restaurant-bhavani-layout-bannerghatta-main-road-bangalore-35188,Savoury Seashell Restaurant,"Arabian, Indian, Chinese, Tandoor, Biryani, Seafood, Kerala",600,4
https://www.swiggy.com/restaurants/karnataka-biryani-point-ln-puram-rajajinagar-bangalore-115437,Karnataka biryani point,"Biryani, Kebabs, Grill",250,4
https://www.swiggy.com/restaurants/sahanas-nati-style-wilson-garden-austin-town-bangalore-58103,Sahana's (Nati Style),"South Indian, Biryani, Chinese",200,4
https://www.swiggy.com/restaurants/bakingo-mv-jayanthi-road-vasanth-nagar-bangalore-570511,Bakingo,"Bakery, Desserts, Beverages, Snacks",299,4.3
https://www.swiggy.com/restaurants/homely-akkithimanahalli-shanti-nagar-bangalore-448238,Homely,"Home Food, North Indian, South Indian, Beverages, Desserts, Thalis",200,4.4
https://www.swiggy.com/restaurants/7-plates-benson-cross-road-frazer-town-bangalore-37027,7 Plates,"Biryani, Chinese, North Indian",350,4.3
https://www.swiggy.com/restaurants/shawarma-on-wheels-cunningham-road-central-bangalore-bangalore-676003,Shawarma On Wheels,"Arabian, Snacks, Fast Food",400,4.4
https://www.swiggy.com/restaurants/suchi-ruchi-10th-cross-road-malleshwaram-bangalore-2408,Suchi Ruchi,"South Indian, Chinese, Chaat, North Indian, Snacks",200,4
https://www.swiggy.com/restaurants/dominos-pizza-rest-house-road-brigade-road-bangalore-23847,Domino's Pizza,"Pizzas, Italian, Pastas, Desserts",400,4.2
https://www.swiggy.com/restaurants/manjit-da-dhaba-cox-town-frazer-town-bangalore-17623,Manjit Da Dhaba,North Indian,350,4.6
https://www.swiggy.com/restaurants/svss-biryani-cmh-road-indiranagar-bangalore-426393,SVSS Biryani,"Hyderabadi, Andhra, Continental",500,4.1
https://www.swiggy.com/restaurants/popat-hal-2nd-stage-indiranagar-bangalore-49083,Popat,North Indian,200,4.4
https://www.swiggy.com/restaurants/royal-treat-5th-block-koramangala-bangalore-28570,Royal Treat,"Biryani, Mughlai, Seafood, North Indian",193,4.1
https://www.swiggy.com/restaurants/sagar-delicacy-sivanchetti-gardens-ulsoor-bangalore-58100,Sagar Delicacy,"North Indian, South Indian, Chinese",300,4.4
https://www.swiggy.com/restaurants/rnr-biryani-taste-of-1953-4th-block-jayanagar-bangalore-440897,RNR Biryani - Taste of 1953,"Biryani, South Indian, Kebabs, Beverages, Desserts",350,4.3
https://www.swiggy.com/restaurants/bhartiya-jalpan-100-feet-road-indiranagar-bangalore-24990,Bhartiya Jalpan,"North Indian, Sweets, Desserts, Chaat",300,4.2
https://www.swiggy.com/restaurants/rolls-kitchen-dr-mc-modi-hospital-road-rajajinagar-bangalore-14197,Rolls Kitchen,Fast Food,150,4.2
https://www.swiggy.com/restaurants/the-bowl-company-akkithimanahalli-shanti-nagar-bangalore-448116,The Bowl Company,"Pan-Asian, Continental, North Indian, Desserts, American, Asian, Beverages, Biry...",300,4.4
https://www.swiggy.com/restaurants/asha-food-camp-sampige-road-malleshwaram-bangalore-214166,Asha Food Camp,"Indian, Beverages, Biryani, Chinese, Desserts, Ice Cream, Juices, Tandoor, North...",250,4.5
https://www.swiggy.com/restaurants/le-arabia-restaurant-koramangala-bangalore-429712,Le Arabia Restaurant,"Arabian, North Indian, Chinese, Beverages, Ice Cream",400,3.7
https://www.swiggy.com/restaurants/new-kadai-restaurant-rahamath-nagar-r-t-nagar-bangalore-360982,New kadai restaurant,"Tandoor, Biryani, Kebabs, Juices, Ice Cream",600,4
https://www.swiggy.com/restaurants/glens-bakehouse-lavelle-road-ashok-nagar-bangalore-17376,Glen's Bakehouse,"Desserts, Bakery, Beverages, Continental, Italian",500,4.4
https://www.swiggy.com/restaurants/roti-wala-5th-block-koramangala-bangalore-492159,Roti Wala,"Home Food, North Indian, Thalis",200,4.1
https://www.swiggy.com/restaurants/fanoos-johnson-market-richmond-road-bangalore-2824,Fanoos,"Biryani, Tandoor, Kebabs, Barbecue",300,4.1
https://www.swiggy.com/restaurants/fanoos-johnson-market-richmond-road-bangalore-2824,Fanoos,"Biryani, Tandoor, Kebabs, Barbecue",300,4.1
https://www.swiggy.com/restaurants/madurai-idly-shop-7th-block-koramangala-bangalore-322,Madurai Idly Shop,South Indian,150,4.1
https://www.swiggy.com/restaurants/n-r-donne-biriyani-1st-block-jayanagar-bangalore-531344,N R Donne Biriyani,"Biryani, South Indian",250,4.1
https://www.swiggy.com/restaurants/kapoors-cafe-3rd-block-jayanagar-bangalore-102324,Kapoor's Cafe,North Indian,500,4.3
https://www.swiggy.com/restaurants/karama-frazer-town-bangalore-30529,Karama,"Arabian, Biryani, Desserts, Mughlai, North Indian",400,4.1
https://www.swiggy.com/restaurants/theobroma-vittal-malya-road-ashok-nagar-bangalore-426730,Theobroma,"Desserts, Bakery, Beverages",500,4.6
https://www.swiggy.com/restaurants/chowman-1st-stage-indiranagar-bangalore-353030,Chowman,"Chinese, Thai, Seafood, Beverages, Desserts",800,4.2
https://www.swiggy.com/restaurants/mumbai-xpress-koramangala-bangalore-132686,Mumbai Xpress,"North Indian, Chinese",200,3.9
https://www.swiggy.com/restaurants/aramane-donne-biriyani-margosa-rd-malleshwaram-bangalore-648545,Aramane Donne Biriyani,"Biryani, Indian",399,
https://www.swiggy.com/restaurants/anjappar-brigade-road-bangalore-252412,Anjappar,"Chettinad, Thalis, Biryani, Chinese, Tandoor, South Indian, North Indian",400,4
https://www.swiggy.com/restaurants/istah-the-mediterranean-way-akkithimanahalli-santhi-nagar-bangalore-503961,Istah - The Mediterranean Way,"Arabian, Biryani, Mediterranean, Lebanese, Snacks, Beverages",250,4.3
https://www.swiggy.com/restaurants/cafe-amudham-lalbhagh-siddapura-jayanagar-bangalore-684427,Cafe Amudham,"South Indian, Snacks",400,4.6
https://www.swiggy.com/restaurants/momoz-ganganagar-bangalore-314691,Momoz,"Chinese, Thai, Seafood, Asian, Combo, Malaysian",350,4
https://www.swiggy.com/restaurants/magnolia-bakery-jk-plaza-indiranagar-bangalore-444178,Magnolia Bakery,"Bakery, Desserts, Ice Cream",500,4.6
https://www.swiggy.com/restaurants/smoky-docky-khb-colony-koramangala-bangalore-647582,Smoky Docky,"Snacks, Desserts",250,4.3
https://www.swiggy.com/restaurants/rolls-on-wheels-cunnigham-road-vasanth-nagar-bangalore-9104,Rolls on Wheels,"Fast Food, North Indian",300,4.3
https://www.swiggy.com/restaurants/chopstick-armane-nagar-r-t-nagar-bangalore-312849,Chopstick,"Chinese, Thai, Seafood, Asian, Combo, Healthy Food, Beverages",350,4
https://www.swiggy.com/restaurants/tera-bites-khb-colony-koramangala-bangalore-394070,Tera Bites,Chinese,200,4.2
